code,name,namew,type,parent,parent_type
N10000101,BT36 7WJ,,postcode,N10000101,dea
N10000101,BT36 7WL,,postcode,N10000101,dea
N10000101,BT36 7WN,,postcode,N10000101,dea
N10000101,BT36 7WP,,postcode,N10000101,dea
N10000101,BT36 7WQ,,postcode,N10000101,dea
N10000101,BT36 7WR,,postcode,N10000101,dea
N10000101,BT36 7WS,,postcode,N10000101,dea
N10000101,BT36 7WT,,postcode,N10000101,dea
N10000101,BT36 7WU,,postcode,N10000101,dea
N10000101,BT36 7WW,,postcode,N10000101,dea
N10000101,BT36 7WX,,postcode,N10000101,dea
N10000101,BT36 7WY,,postcode,N10000101,dea
N10000101,BT36 7XY,,postcode,N10000101,dea
N10000101,BT36 7XZ,,postcode,N10000101,dea
N10000101,BT36 7YJ,,postcode,N10000101,dea
N10000101,BT36 7YN,,postcode,N10000101,dea
N10000101,BT36 7YP,,postcode,N10000101,dea
N10000101,BT36 7YQ,,postcode,N10000101,dea
N10000101,BT36 7YS,,postcode,N10000101,dea
N10000101,BT36 7YT,,postcode,N10000101,dea
N10000101,BT36 7YU,,postcode,N10000101,dea
N10000101,BT36 7YW,,postcode,N10000101,dea
N10000101,BT36 7ZA,,postcode,N10000101,dea
N10000101,BT36 7ZE,,postcode,N10000101,dea
N10000101,BT36 8BX,,postcode,N10000101,dea
N10000101,BT36 8FA,,postcode,N10000101,dea
N10000101,BT36 8FB,,postcode,N10000101,dea
N10000101,BT36 8FD,,postcode,N10000101,dea
N10000101,BT36 8FH,,postcode,N10000101,dea
N10000101,BT36 8FL,,postcode,N10000101,dea
N10000101,BT36 8FP,,postcode,N10000101,dea
N10000101,BT36 8FS,,postcode,N10000101,dea
N10000101,BT36 8FT,,postcode,N10000101,dea
N10000101,BT36 8GN,,postcode,N10000101,dea
N10000101,BT36 8GP,,postcode,N10000101,dea
N10000101,BT36 8GS,,postcode,N10000101,dea
N10000101,BT36 8GX,,postcode,N10000101,dea
N10000101,BT36 8PL,,postcode,N10000101,dea
N10000101,BT36 8PN,,postcode,N10000101,dea
N10000101,BT36 8PP,,postcode,N10000101,dea
N10000101,BT36 8PT,,postcode,N10000101,dea
N10000101,BT36 8PX,,postcode,N10000101,dea
N10000101,BT36 8PY,,postcode,N10000101,dea
N10000101,BT36 8PZ,,postcode,N10000101,dea
N10000101,BT36 8QA,,postcode,N10000101,dea
N10000101,BT36 8QB,,postcode,N10000101,dea
N10000101,BT36 8QD,,postcode,N10000101,dea
N10000101,BT36 8QE,,postcode,N10000101,dea
N10000101,BT36 8QF,,postcode,N10000101,dea
N10000101,BT36 8QG,,postcode,N10000101,dea
N10000101,BT36 8QJ,,postcode,N10000101,dea
N10000101,BT36 8QL,,postcode,N10000101,dea
N10000101,BT36 8QN,,postcode,N10000101,dea
N10000101,BT36 8QQ,,postcode,N10000101,dea
N10000101,BT36 8QR,,postcode,N10000101,dea
N10000101,BT36 8QS,,postcode,N10000101,dea
N10000101,BT36 8QT,,postcode,N10000101,dea
N10000101,BT36 8QU,,postcode,N10000101,dea
N10000101,BT36 8QW,,postcode,N10000101,dea
N10000101,BT36 8QX,,postcode,N10000101,dea
N10000101,BT36 8QY,,postcode,N10000101,dea
N10000101,BT36 8QZ,,postcode,N10000101,dea
N10000101,BT36 8RA,,postcode,N10000101,dea
